"","year","total_pub","code_share","perc"
"1",2017,168,4,2.38
"2",2018,163,9,5.52
"3",2019,180,12,6.67
"4",2020,166,10,6.02
"5",2021,164,10,6.1
"6",2022,127,17,13.39
